title,release_date,genre,imdb_rating,casts,movie_id
red shoes and the seven dwarfs,2019,"Animation,Romance,Family",6.3,"Chloë Grace Moretz,Sam Claflin,Gina Gershon",111
spider man homecoming,2017,"Action,Adventure,Science Fiction,Drama",7.4,"Tom Holland,Michael Keaton,Robert Downey Jr.",112
harry potter and the order of the phoenix,2007,"Adventure,Fantasy,Mystery",7.5,"Daniel Radcliffe,Emma Watson,Rupert Grint",113
doctor sleep,2019,"Horror,Drama,Fantasy,Thriller",7.4,"Ewan McGregor,Rebecca Ferguson,Kyliegh Curran",114
harry potter and the goblet of fire,2005,"Adventure,Fantasy,Family",7.7,"Daniel Radcliffe,Emma Watson,Rupert Grint",115
captain america civil war,2016,"Adventure,Action,Science Fiction",7.8,"Chris Evans,Robert Downey Jr.,Scarlett Johansson",116
big hero 6,2014,"Adventure,Family,Animation,Action,Comedy",7.8,"Ryan Potter,Scott Adsit,Jamie Chung",117
the banker,2020,Drama,7.2,"Anthony Mackie,Samuel L. Jackson,Nicholas Hoult",118
rambo last blood,2019,"Action,Thriller,Drama",6.2,"Sylvester Stallone,Paz Vega,Sergio Peris-Mencheta",119
the lord of the rings the fellowship of the ring,2001,"Adventure,Fantasy,Action",8.8,"Elijah Wood,Ian McKellen,Orlando Bloom",120
guardians of the galaxy vol 2,2017,"Action,Adventure,Comedy,Science Fiction",7.6,"Chris Pratt,Zoe Saldana,Dave Bautista",121
l on the professional,1994,"Crime,Drama,Action",8.5,"Jean Reno,Gary Oldman,Natalie Portman",122
maleficent mistress of evil,2019,"Fantasy,Family,Adventure",6.6,"Angelina Jolie,Elle Fanning,Harris Dickinson",123
rush hour 2,2001,"Action,Comedy,Crime",6.6,"Jackie Chan,Chris Tucker,John Lone",124
countdown,2019,"Horror,Thriller",5.4,"Elizabeth Lail,Jordan Calloway,Talitha Eliana Bateman",125
thor,2011,"Adventure,Fantasy,Action",7.0,"Chris Hemsworth,Anthony Hopkins,Natalie Portman",126
deadpool,2016,"Action,Adventure,Comedy",8.0,"Ryan Reynolds,Morena Baccarin,T.J. Miller",127
twilight,2008,"Fantasy,Drama,Romance",5.2,"Kristen Stewart,Robert Pattinson,Billy Burke",128
the great mouse detective,1986,"Animation,Family,Adventure,Mystery",7.2,"Vincent Price,Barrie Ingham,Val Bettin",129
survivor,2015,"Action,Crime,Thriller",5.6,"Milla Jovovich,Pierce Brosnan,Dylan McDermott",130
avatar,2009,"Action,Adventure,Fantasy,Science Fiction",7.8,"Sam Worthington,Zoe Saldana,Sigourney Weaver",131
deadpool 2,2018,"Action,Comedy,Adventure",7.7,"Ryan Reynolds,Josh Brolin,Morena Baccarin",132
avengers age of ultron,2015,"Action,Adventure,Science Fiction",7.3,"Robert Downey Jr.,Chris Evans,Mark Ruffalo",133
gold dust,2020,"Comedy,Adventure",3.9,"Darin Brooks,Chris Romano,David Wysocki",134
black panther,2018,"Action,Adventure,Fantasy,Science Fiction",7.3,"Chadwick Boseman,Michael B. Jordan,Lupita Nyong'o",135
desire,2011,"Drama,War",5.5,"Frank Silvera,Kenneth Harp,Paul Mazursky",136
whiplash,2014,"Drama,Music",8.5,"Miles Teller,J.K. Simmons,Melissa Benoist",137
family guy presents stewie griffin the untold story,2005,"Comedy,Animation,Adventure",7.6,"Seth MacFarlane,Alex Borstein,Seth Green",138
harry potter and the prisoner of azkaban,2004,"Adventure,Fantasy",7.9,"Daniel Radcliffe,Emma Watson,Rupert Grint",139
thor ragnarok,2017,"Action,Adventure,Comedy,Fantasy",7.9,"Chris Hemsworth,Tom Hiddleston,Cate Blanchett",140
gone girl,2014,"Mystery,Thriller,Drama",8.1,"Ben Affleck,Rosamund Pike,Neil Patrick Harris",141
terminator genisys,2015,"Science Fiction,Action,Thriller,Adventure",6.3,"Arnold Schwarzenegger,Jason Clarke,Emilia Clarke",142
23 f la pel cula,2011,"History,Drama",6.0,"Paco Tous,Juan Diego,Fernando Cayo",143
the hunger games mockingjay part 1,2014,"Science Fiction,Adventure,Thriller",6.6,"Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth",144
bad boys,1995,"Thriller,Action,Crime",6.7,"Will Smith,Martin Lawrence,Vanessa Hudgens",145
bohemian rhapsody,2018,"Drama,Music",8.0,"Rami Malek,Lucy Boynton,Gwilym Lee",146
die hard with a vengeance,1995,"Action,Thriller",7.6,"Bruce Willis,Jeremy Irons,Samuel L. Jackson",147
the irishman,2019,"Crime,Drama,History",7.9,"Robert De Niro,Al Pacino,Joe Pesci",148
a nightmare on elm street part 2 freddy s revenge,1985,Horror,5.5,"Robert Englund,Mark Patton,Kim Myers",149
saving private ryan,1998,"Drama,History,War",8.6,"Tom Hanks,Matt Damon,Tom Sizemore",150
spirited away,2001,"Documentary,Animation",6.9,"Steve Alpert,Jerry Beck,Dave Bossert",151
how to train your dragon the hidden world,2019,"Animation,Family,Adventure",7.5,"Jay Baruchel,America Ferrera,F. Murray Abraham",152
el camino a breaking bad movie,2019,"Crime,Drama,Thriller,Action",7.3,"Aaron Paul,Jonathan Banks,Matt Jones",153
midway,2019,"War,History,Action,Drama",6.7,"Ed Skrein,Patrick Wilson,Woody Harrelson",154
war dogs,2016,"Comedy,Crime,Drama",7.1,"Jonah Hill,Miles Teller,Steve Lantz",155
alexander and the terrible horrible no good very bad day,2014,"Family,Comedy",6.2,"Steve Carell,Jennifer Garner,Ed Oxenbould",156
inside out,2015,"Drama,Comedy,Animation,Family",8.1,"Amy Poehler,Bill Hader,Lewis Black",157
teenage mutant ninja turtles,2014,"Science Fiction,Action,Adventure,Fantasy,Comedy",5.8,"Megan Fox,Will Arnett,William Fichtner",158
kamen rider zi o next time geiz majesty,2020,"Action,Adventure,Science Fiction,Fantasy",5.7,"Rihito Itagaki,Hiroaki Iwanaga,Kentarô Kanesaki",159
the matrix,1999,"Action,Science Fiction",8.7,"Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss",160
glass,2019,"Thriller,Drama,Science Fiction",6.7,"James McAvoy,Bruce Willis,Samuel L. Jackson",161
death race beyond anarchy,2018,"Action,Thriller,Science Fiction",5.2,"Lucy Aarden,Nicholas Aaron,Jasette Amos",162
the terminator,1984,"Action,Thriller,Science Fiction",8.0,"Arnold Schwarzenegger,Linda Hamilton,Michael Biehn",163
the martian,2015,"Drama,Adventure,Science Fiction",8.0,"Matt Damon,Jessica Chastain,Kristen Wiig",164
john wick chapter 2,2017,"Thriller,Action,Crime",7.5,"Keanu Reeves,Riccardo Scamarcio,Ian McShane",165
iron man,2008,"Action,Science Fiction,Adventure",7.9,"Robert Downey Jr.,Gwyneth Paltrow,Terrence Howard",166
it chapter two,2019,"Horror,Fantasy",6.6,"Jessica Chastain,James McAvoy,Bill Hader",167
angel has fallen,2019,"Action,Thriller",6.4,"Gerard Butler,Frederick Schmidt,Danny Huston",168
howl s moving castle,2004,"Fantasy,Animation,Adventure",8.2,"Chieko Baishô,Takuya Kimura,Tatsuya Gashûin",169
motherless brooklyn,2019,"Drama,Thriller",6.8,"Edward Norton,Gugu Mbatha-Raw,Alec Baldwin",170
ready or not,2019,"Horror,Thriller,Mystery,Comedy",6.8,"Samara Weaving,Adam Brody,Mark O'Brien",171
batman begins,2005,"Action,Crime,Drama",8.2,"Christian Bale,Michael Caine,Ken Watanabe",172
last christmas,2019,"Comedy,Romance,Drama",6.5,"Madison Ingoldsby,Emma Thompson,Boris Isakovic",173
ant man and the wasp,2018,"Action,Adventure,Science Fiction,Comedy",7.1,"Paul Rudd,Evangeline Lilly,Michael Peña",174
alita battle angel,2019,"Action,Science Fiction,Adventure",7.3,"Rosa Salazar,Christoph Waltz,Jennifer Connelly",175
zootopia,2016,"Animation,Adventure,Family,Comedy",8.0,"Ginnifer Goodwin,Jason Bateman,Idris Elba",176
ready player one,2018,"Adventure,Science Fiction",7.5,"Tye Sheridan,Olivia Cooke,Ben Mendelsohn",177
star wars the force awakens,2015,"Action,Adventure,Science Fiction,Fantasy",7.9,"Daisy Ridley,John Boyega,Oscar Isaac",178
titanic,1997,"Drama,Romance",7.8,"Leonardo DiCaprio,Kate Winslet,Billy Zane",179
the decline,2020,"Documentary,Music",7.6,"Alice Bag Band,Black Flag,Catholic Discipline",180
the grudge,2020,"Horror,Mystery",4.2,"Tara Westwood,Junko Bailey,David Lawrence Brown",181
beauty and the beast,2017,"Romance,Family,Animation,Fantasy",8.0,"Paige O'Hara,Robby Benson,Jesse Corti",182
cinderella,2015,"Romance,Fantasy,Family,Drama",6.9,"Lily James,Cate Blanchett,Richard Madden",183
the purge anarchy,2014,"Horror,Thriller",6.4,"Frank Grillo,Carmen Ejogo,Zach Gilford",184
dante s inferno an animated epic,2010,"Action,Adventure,Animation,Horror",6.6,"Graham McTavish,Vanessa Branch,Steve Blum",185
