release_date,popularity,vote_count,genre,productions,imdb_rating,director,casts
2019,64.976,422,drama crime,netter-productions outlier-society-productions endeavor-content macro one-community participant-media warner-bros.-pictures,7.6,destin-daniel-cretton,michael-b.-jordan jamie-foxx brie-larson
2018,64.80199999999999,7226,action adventure science-fiction,amblin-entertainment legendary-entertainment universal-pictures perfect-world-pictures,6.2,j.a.-bayona,chris-pratt bryce-dallas-howard rafe-spall
1990,64.321,173,thriller comedy fantasy horror,paramount laurel-productions darkside-movie laurel-entertainment,6.3,john-harrison,debbie-harry matthew-lawrence christian-slater
2019,64.277,46,adventure fantasy,ctb-film-company russian-film-group china-film-group-corporation buffalo-8-productions china-international-picture fetisoff-illusion gfa-entertainment gap-financing lime-studios sparkle-roll-media,4.6,oleg-stepchenko,jason-flemyng xingtong-yao anna-churina
2020,63.526,76,drama history thriller,mep-capital momentum-pictures hamilton-entertainment south-australian-film-corporation arclight-films particular-crowd spier-films enriched-media-group premiere-picture footprint-films beagle-pug-films,6.8,francis-annan,daniel-radcliffe ian-hart daniel-webber
2001,62.511,2990,animation family adventure science-fiction,walt-disney-animation-studios walt-disney-pictures,6.9,unknown,michael-j.-fox jim-varney corey-burton
2019,62.348,6658,action adventure science-fiction,marvel-studios columbia-pictures pascal-pictures sony-pictures stereo-d,7.5,jon-watts,tom-holland samuel-l.-jackson jake-gyllenhaal
2019,62.216,3058,action adventure comedy,chris-morgan-productions seven-bucks-productions universal-pictures,6.4,david-leitch,dwayne-johnson jason-statham idris-elba
2018,61.56100000000001,17408,adventure action science-fiction,marvel-studios,8.4,unknown,robert-downey-jr. chris-hemsworth mark-ruffalo
1977,60.604,13223,adventure action science-fiction,lucasfilm-ltd. 20th-century-fox,8.6,george-lucas,mark-hamill harrison-ford carrie-fisher
2017,59.722,2700,action science-fiction thriller,twisted-media stereo-d skydance-media ratpac-dune-entertainment electric-entertainment warner-bros.-pictures,5.3,dean-devlin,gerard-butler jim-sturgess abbie-cornish
2019,59.54,2235,drama action,20th-century-fox chernin-entertainment,8.1,james-mangold,matt-damon christian-bale jon-bernthal
2019,58.496,1689,drama romance,sony-pictures columbia-pictures pascal-pictures regency-enterprises,7.9,greta-gerwig,saoirse-ronan emma-watson florence-pugh
2020,56.209,54,drama music,kevin-downes-productions,6.6,unknown,k.j.-apa britt-robertson nathan-parsons
2002,56.008,13662,adventure fantasy,warner-bros.-pictures 1492-pictures heyday-films,7.4,chris-columbus,daniel-radcliffe rupert-grint emma-watson
2016,55.865,1885,action history thriller,paramount 3-arts-entertainment bay-films latina-pictures dune-films,7.3,michael-bay,john-krasinski pablo-schreiber james-badge-dale
1995,55.78,387,action animation fantasy,toei-animation,7.7,shigeyasu-yamauchi,masako-nozawa ryô-horikawa takeshi-kusao
1991,55.519,656,horror thriller comedy,new-line-cinema,4.9,rachel-talalay,robert-englund lisa-zane shon-greenblatt
2020,55.37,702,comedy action thriller,film-44 original-film closest-to-the-hole-productions leverage-entertainment,6.2,peter-berg,mark-wahlberg winston-duke alan-arkin
2019,54.585,1930,action adventure science-fiction,lightstorm-entertainment skydance-media 20th-century-fox paramount tencent-pictures tsg-entertainment instituto-de-la-cinematografía-y-de-las-artes-audiovisuales-(icaa) ministry-of-finance-of-spain ministerio-de-cultura hungarian-national-film-fund mid-atlantic-films,6.3,tim-miller,linda-hamilton arnold-schwarzenegger mackenzie-davis
2019,54.174,12215,adventure science-fiction action,marvel-studios,8.4,unknown,robert-downey-jr. chris-evans mark-ruffalo
2020,53.994,100,romance,zed-3-productions,5.3,ram-gopal-varma,anand raavi-kondala-rao satya-krishnan
2007,52.926,721,animation romance family fantasy,disneytoon-studios,5.9,frank-nissen,jennifer-hale christopher-daniel-barnes susanne-blakeslee
2019,52.695,5466,comedy drama thriller,heyday-films columbia-pictures bona-film-group,7.7,quentin-tarantino,leonardo-dicaprio brad-pitt margot-robbie
2019,52.394,2870,comedy war drama,fox-searchlight-pictures defender-films piki-films,7.9,taika-waititi,roman-griffin-davis thomasin-mckenzie scarlett-johansson
2010,51.541,25148,action science-fiction adventure,legendary-entertainment syncopy warner-bros.-pictures,8.8,christopher-nolan,leonardo-dicaprio joseph-gordon-levitt ellen-page
2019,51.36,107,thriller science-fiction horror,fantastic-films frakas-productions pingpongfilm lovely-productions xyz-films,5.8,lorcan-finnegan,imogen-poots danielle-ryan molly-mccann
2019,50.481,8788,action adventure science-fiction,marvel-studios,6.9,unknown,brie-larson samuel-l.-jackson ben-mendelsohn
2008,50.469,799,family action adventure comedy,studio-babelsberg village-roadshow-pictures silver-pictures anarchos-productions velocity-productions warner-bros.-pictures,6.0,unknown,emile-hirsch matthew-fox christina-ricci
2002,50.008,859,family animation romance fantasy,walt-disney-animation-japan disney-television-animation,5.0,john-kafka,jennifer-hale rob-paulsen corey-burton
2017,49.945,10173,science-fiction action adventure,lucasfilm-ltd.,7.0,rian-johnson,daisy-ridley john-boyega mark-hamill
2012,49.752,21893,science-fiction action adventure,marvel-studios paramount,8.0,joss-whedon,robert-downey-jr. chris-evans scarlett-johansson
2003,49.724,14032,adventure fantasy action,jerry-bruckheimer-films walt-disney-pictures,8.0,gore-verbinski,johnny-depp geoffrey-rush orlando-bloom
2008,49.496,21561,drama action crime thriller,dc-comics legendary-entertainment syncopy isobel-griffiths dc-entertainment warner-bros.-pictures,9.0,christopher-nolan,christian-bale heath-ledger aaron-eckhart
2020,49.363,0,comedy horror,hollywood-international-pictures,2.6,donald-farmer,drew-godderis sky-nicholas donald-trimborn
1992,49.255,5830,comedy family adventure crime,hughes-entertainment 20th-century-fox,6.8,chris-columbus,macaulay-culkin joe-pesci daniel-stern
2017,49.062,2575,drama family comedy,grade-a-entertainment dayday-films filmnation-entertainment fox-searchlight-pictures,7.6,marc-webb,chris-evans mckenna-grace lindsay-duncan
2020,49.036,92,drama,warner-bros.-pictures pearl-street-films mayhem-pictures,6.7,gavin-o'connor,ben-affleck al-madrigal janina-gavankar
2020,49.034,358,comedy action,occupant-films altitude-film-entertainment four-knights-film hyperion-media-group ingenious-media maze-pictures pump-metal-films the-electric-shadow-company,6.3,jason-lei-howden,samara-weaving daniel-radcliffe rhys-darby
2019,48.81,3159,science-fiction action adventure,the-donners'-company 20th-century-fox genre-films bad-hat-harry-productions marvel-entertainment kinberg-genre tsg-entertainment,5.8,simon-kinberg,james-mcavoy michael-fassbender jennifer-lawrence
2017,48.357,7946,science-fiction drama,torridon-films 16:14-entertainment scott-free-productions columbia-pictures alcon-entertainment thunderbird-entertainment warner-bros.-pictures,8.0,denis-villeneuve,harrison-ford ryan-gosling ana-de-armas
1994,48.08600000000001,15522,drama crime,castle-rock-entertainment,9.3,frank-darabont,tim-robbins morgan-freeman bob-gunton
2020,48.01600000000001,6,horror drama thriller,rumble-films subotica,5.0,malgorzata-szumowska,raffey-cassidy michiel-huisman mallory-adams
2019,48.014,21,comedy,çamaşırhane,2.8,togan-gökbakar,sahan-gökbakar nurullah-celebi somer-karvan
2019,47.897,403,drama adventure history family,walt-disney-pictures the-walt-disney-company,8.0,ericson-core,willem-dafoe julianne-nicholson christopher-heyerdahl
2014,47.58600000000001,2,unknown,unknown,6.7,krisstian-de-lara,julie-kendall mario-nalini
2007,47.549,5015,action drama mystery thriller,universal-pictures the-kennedy/marshall-company ludlum-entertainment motion-picture-beta-produktionsgesellschaft bourne-again kanzaman-services peninsula-films studio-babelsberg,8.0,paul-greengrass,matt-damon edgar-ramírez joan-allen
2019,47.455,650,animation action adventure comedy,chernin-entertainment blue-sky-studios 20th-century-fox-animation 20th-century-fox,6.8,unknown,rachel-brosnahan jarrett-bruno claire-crosby
2014,47.425,11786,action mystery science-fiction thriller,ingenious-media gotham-group dayday-films temple-hill-entertainment tsg-entertainment 20th-century-fox,6.8,wes-ball,dylan-o'brien kaya-scodelario will-poulter
2020,47.279,23,family action comedy,stx-entertainment mwm-studios,6.3,peter-segal,dave-bautista chloe-coleman parisa-fitz-henley
2019,47.25100000000001,4257,adventure animation comedy family fantasy,walt-disney-pictures pixar,7.8,josh-cooley,tom-hanks tim-allen annie-potts
2014,47.109,9508,action adventure fantasy,warner-bros.-pictures wingnut-films new-line-cinema 3foot7 metro-goldwyn-mayer,7.4,peter-jackson,ian-mckellen martin-freeman richard-armitage
2020,46.905,235,comedy romance,awesomeness-films overbrook-entertainment,7.2,susan-johnson,lana-condor noah-centineo janel-parrish
2009,46.799,133,action horror science-fiction,stage-6-films hollywood-media-bridge,3.0,don-e.-fauntleroy,crystal-allen linden-ashby danny-midwinter
2009,46.551,12172,adventure fantasy,warner-bros.-pictures heyday-films,7.6,david-yates,daniel-radcliffe emma-watson rupert-grint
1972,46.542,11768,drama crime,paramount alfran-productions,9.2,francis-ford-coppola,marlon-brando al-pacino james-caan
2013,46.38399999999999,11466,animation family adventure,walt-disney-animation-studios walt-disney-pictures,6.9,unknown,kristen-bell idina-menzel josh-gad
2019,46.337,117,animation romance family,sidus next-entertainment-world locus-creative-studios,6.3,unknown,chloë-grace-moretz sam-claflin gina-gershon
2017,46.034,13766,action adventure science-fiction drama,marvel-studios columbia-pictures pascal-pictures lstar-capital sony-pictures,7.4,jon-watts,tom-holland michael-keaton robert-downey-jr.
