release_date,popularity,vote_count,genre,productions,imdb_rating,director,casts
2013,13.104,1187,drama thriller mystery action,40-acres-&-a-mule-filmworks vertigo-entertainment good-universe ob-productions,5.7,spike-lee,josh-brolin elizabeth-olsen samuel-l.-jackson
2019,13.103,173,comedy fantasy,tramp-limited medusa-film,5.2,unknown,ficarra picone massimo-popolizio
1995,13.102,709,drama romance,intial-productions united-artists lumière-pictures,7.5,mike-figgis,nicolas-cage elisabeth-shue julian-sands
1995,13.101,846,drama romance,mirage-enterprises columbia-pictures,7.6,ang-lee,emma-thompson kate-winslet james-fleet
1962,13.101,329,drama thriller mystery,clinica-estetico paramount scott-rudin-productions,6.6,jonathan-demme,denzel-washington liev-schreiber meryl-streep
2014,13.1,788,drama comedy,spring-creek-productions 21-laps-entertainment warner-bros.-pictures,6.6,shawn-levy,jason-bateman tina-fey jane-fonda
2004,13.09,613,comedy romance,close-call-films miramax view-askew-productions beverly-detroit,6.2,kevin-smith,ben-affleck liv-tyler raquel-castro
1980,13.09,476,science-fiction,dino-de-laurentiis-company starling-films,6.5,mike-hodges,sam-j.-jones melody-anderson max-von-sydow
2020,13.089,20,comedy romance,rectangle-productions gaumont france-2-cinéma belga-productions french-connection the,6.1,eric-lartigau,alain-chabat doona-bae blanche-gardin
1944,13.088,895,crime drama mystery thriller,paramount,8.3,billy-wilder,fred-macmurray barbara-stanwyck edward-g.-robinson
2012,13.081,1208,horror,room-101 paramount blumhouse-productions solana-films,4.6,unknown,stephen-dunham katie-featherston matt-shively
2011,13.08,334,animation adventure drama fantasy,comix-wave-films media-factory,7.2,makoto-shinkai,hilary-haag corey-hartzog leraldo-anzaldua
2008,13.08,373,drama action thriller crime,mandeville-films hyde-park-films crescendo-productions overture-films,7.0,jeffrey-nachmanoff,don-cheadle guy-pearce archie-panjabi
2018,13.078,95,comedy horror action,mind-the-gap-productions lydiard-films rumble-riot-pictures,6.0,lin-oeding,brenton-thwaites jane-levy karan-soni
1985,13.076,657,adventure fantasy,20th-century-fox warner-bros.-pictures,7.0,richard-donner,matthew-broderick rutger-hauer michelle-pfeiffer
2013,13.075,649,action thriller,promised-land-productions nu-image corsan millennium-films,5.4,mark-steven-johnson,robert-de-niro john-travolta milo-ventimiglia
1972,13.075,313,crime thriller horror drama,rogue-pictures film-afrika-worldwide sean-s.-cunningham-films,6.5,dennis-iliadis,garret-dillahunt monica-potter tony-goldwyn
2003,13.074000000000002,432,comedy,metro-goldwyn-mayer greenestreet-films,6.1,boaz-yakin,brittany-murphy dakota-fanning heather-locklear
1996,13.071,1410,family comedy,1492-pictures 20th-century-fox,5.6,brian-levant,arnold-schwarzenegger sinbad phil-hartman
2006,13.071,1670,drama adventure science-fiction romance,regency-enterprises protozoa-pictures new-regency-pictures muse-entertainment warner-bros.-pictures,7.2,darren-aronofsky,hugh-jackman rachel-weisz sean-patrick-thomas
1999,13.07,452,romance drama,tiger-productions bel-air-entertainment di-novi-pictures,6.3,luis-mandoki,kevin-costner robin-wright paul-newman
2019,13.069,298,comedy,paper-kite-productions paper-pictures-inc. dunshire-productions,5.4,amy-poehler,amy-poehler rachel-dratch ana-gasteyer
2012,13.069,533,drama history romance,sirena-film zentropa-entertainments danmarks-radio-(dr) svt film-i-väst den-vestdanske-filmpulje,7.5,nikolaj-arcel,alicia-vikander mads-mikkelsen mikkel-boe-følsgaard
2017,13.068,167,animation family fantasy comedy,agir ambient-entertainment-gmbh timeless-films united-entertainment mack-media,4.8,holger-tappe,dirk-stollberg emily-watson jason-isaacs
1985,13.068,365,comedy crime mystery,universal-pictures,6.9,michael-ritchie,chevy-chase joe-don-baker dana-wheeler-nicholson
2014,13.067,405,romance drama,stone-angels gaumont tf1-films-production lucky-red ufilm silver-reel umedia od-shots yrf-entertainment canal+,5.7,olivier-dahan,nicole-kidman tim-roth andré-penvern
2011,13.066,358,horror science-fiction,manitoba-film-and-video-production-tax-credit instinctive-film preferred-content julijette ink-connection br-group manitoba-film-&-music,5.8,xavier-gens,lauren-german michael-biehn milo-ventimiglia
2001,13.065,280,horror thriller,npv-entertainment village-roadshow-pictures warner-bros.-pictures,4.8,jamie-blanks,denise-richards david-boreanaz marley-shelton
2004,13.064,1800,comedy romance,miramax universal-pictures working-title-films atlantic-television studiocanal little-bird,6.0,beeban-kidron,renée-zellweger colin-firth hugh-grant
2012,13.063,1576,drama comedy romance,destination-films samuel-goldwyn-films,6.8,jonathan-kasdan,dylan-o'brien britt-robertson victoria-justice
1994,13.063,587,thriller science-fiction action crime,universal-pictures renaissance-pictures dark-horse-entertainment largo-entertainment signature-pictures jvc,5.9,peter-hyams,jean-claude-van-damme mia-sara ron-silver
2007,13.063,3649,comedy family fantasy romance,walt-disney-pictures josephson-entertainment andalasia-productions right-coast,7.0,kevin-lima,amy-adams susan-sarandon james-marsden
1998,13.062,1928,comedy family fantasy,joseph-m.-singer-entertainment davis-entertainment 20th-century-fox,5.4,betty-thomas,eddie-murphy peter-boyle ossie-davis
2016,13.06,1290,action comedy,parkes+macdonald-image-nation fox-2000-pictures,5.9,greg-mottola,zach-galifianakis isla-fisher jon-hamm
2004,13.057,1968,comedy crime,columbia-pictures revolution-studios wayans-bros.-entertainment gone-north-productions,5.6,keenen-ivory-wayans,marlon-wayans shawn-wayans busy-philipps
1994,13.057,1346,comedy drama history,touchstone-pictures,7.8,tim-burton,johnny-depp martin-landau sarah-jessica-parker
2019,13.050999999999998,7,drama history,celtic-films-entertainment arena-audiovisual,7.5,agustí-villaronga,abdullah-ali rawkan-binbella ed-skrein
2002,13.050999999999998,430,action adventure comedy thriller,stillking-films jerry-bruckheimer-films touchstone-pictures,5.6,joel-schumacher,anthony-hopkins chris-rock peter-stormare
2014,13.046,881,drama,amblin-entertainment harpo-films participant-media imagenation-abu-dhabi-fz reliance-entertainment touchstone-pictures dreamworks-pictures,7.3,lasse-hallström,helen-mirren om-puri manish-dayal
1963,13.046,361,unknown,unknown,6.3,benjamin-brewer,abigail-austin eliza-austin mike-bash
2016,13.044,79,drama horror science-fiction thriller,unknown,5.6,rod-blackhurst,lucy-walters gina-piersanti adam-david-thompson
2017,13.043,418,comedy romance,creative-wealth-media-finance unified-pictures bron-studios universal-pictures,4.7,william-h.-macy,kate-upton alexandra-daddario matt-barr
2009,13.041,1337,drama comedy music,vidhu-vinod-chopra-productions vinod-chopra-films,8.4,rajkumar-hirani,aamir-khan madhavan mona-singh
2001,13.038,2150,action comedy family adventure,troublemaker-studios dimension-films miramax,5.5,robert-rodriguez,alexa-penavega daryl-sabara antonio-banderas
1998,13.037,363,comedy crime thriller,vbt-productions initial-entertainment-group-(ieg) interscope-communications ballpark-productions-partnership,6.4,peter-berg,christian-slater daniel-stern cameron-diaz
2012,13.032,590,horror thriller comedy,dimension-films mark-canton-productions intellectual-properties-worldwide,3.7,john-gulager,danielle-panabaker ving-rhames david-hasselhoff
2017,13.03,121,drama,chazown-pictures paramount disruption-entertainment,6.6,michael-carney,greg-kinnear renée-zellweger djimon-hounsou
2014,13.03,888,action adventure,millennium-films,4.2,renny-harlin,kellan-lutz gaia-weiss scott-adkins
2008,13.03,327,action comedy crime,verture-films millennium-films,5.8,callie-khouri,diane-keaton queen-latifah katie-holmes
2009,13.028,664,comedy mystery,columbia-pictures robert-simonds-productions metro-goldwyn-mayer,5.6,harald-zwart,steve-martin jean-reno emily-mortimer
2015,13.027,2909,drama history,universal-pictures scott-rudin-productions legendary-entertainment the-mark-gordon-company management-360 cloud-eight-films,7.2,danny-boyle,michael-fassbender kate-winslet seth-rogen
2015,13.026,198,horror,poznan-film-group the-safran-company,5.5,chris-sparling,rya-kihlstedt william-mapother sharon-maughan
2009,13.024,1382,drama comedy,universal-pictures working-title-films medienproduktion-prometheus-filmgesellschaft portobello-studios tightrope-pictures studiocanal,7.4,richard-curtis,philip-seymour-hoffman bill-nighy nick-frost
2009,13.023,563,drama music romance,fox-searchlight-pictures informant-media butcher's-run-films,7.2,scott-cooper,jeff-bridges maggie-gyllenhaal colin-farrell
2005,13.02,834,action adventure comedy drama mystery,babelsberg-film paramount bristol-bay-productions baldwin-entertainment-group desertlands-entertainment mace-neufeld-productions kanzaman j.k.-livin-productions moguletta sahara-productions,6.0,breck-eisner,matthew-mcconaughey penélope-cruz steve-zahn
1948,13.02,573,adventure drama western,warner-bros.-pictures,8.2,john-huston,humphrey-bogart walter-huston tim-holt
1997,13.019,3737,crime thriller drama,miramax a-band-apart lawrence-bender-productions mighty-mighty-afrodite-productions,7.5,quentin-tarantino,pam-grier samuel-l.-jackson robert-forster
2002,13.017,491,drama war,david-foster-productions cheyenne-enterprises david-ladd-films metro-goldwyn-mayer,6.3,gregory-hoblit,bruce-willis colin-farrell terrence-howard
2012,13.015999999999998,368,drama,fox-2000-pictures walden-media,7.2,unknown,jonny-weston gerard-butler elisabeth-shue
2010,13.015,3454,comedy drama,legendary-entertainment green-hat-films warner-bros.-pictures,6.5,todd-phillips,robert-downey-jr. zach-galifianakis michelle-monaghan
2011,13.013,588,family comedy,color-force dune-entertainment fox-2000-pictures 20th-century-fox,6.5,david-bowers,zachary-gordon devon-bostick robert-capron
1989,13.011,536,horror thriller,trans-pacific-films,5.2,dominique-othenin-girard,donald-pleasence danielle-harris ellie-cornell
1985,13.01,522,horror,georgetown-productions-inc. paramount,4.8,danny-steinmann,melanie-kinnaman john-shepherd anthony-barrile
2007,13.01,1903,adventure drama comedy,fox-searchlight-pictures scott-rudin-productions american-empirical-pictures,7.2,wes-anderson,owen-wilson adrien-brody jason-schwartzman
2004,13.009,574,documentary,the-vladar-company,6.2,vlad-yudin,sheru-aangrish rafael-brandao chris-bumstead
1998,13.009,1240,action drama thriller,x-filme-creative-pool westdeutscher-rundfunk,7.6,tom-tykwer,franka-potente moritz-bleibtreu herbert-knaup
2013,13.008,3336,thriller mystery,rhombus-media roxbury-pictures mecanismo-films micro_scope pathé-pictures-international entertainment-one,6.9,denis-villeneuve,jake-gyllenhaal mélanie-laurent sarah-gadon
2008,13.007,865,comedy adventure,new-line-cinema,6.6,unknown,john-cho kal-penn neil-patrick-harris
2004,13.005999999999998,782,adventure drama action thriller,hyde-park-entertainment mandeville-films burke/samples/foster-productions wwe-studios cub-eight-productions metro-goldwyn-mayer,6.3,kevin-bray,dwayne-johnson ashley-scott johnny-knoxville
2019,13.005,1,romance comedy,lonewolf-films dreamscape-digital iwant-original,8.0,benedict-mique,kim-molina kit-thompson emmanuelle-vera
2020,13.005,0,thriller drama horror mystery,full-moon-entertainment full-moon-pictures,5.9,stuart-gordon,jeffrey-combs barbara-crampton jonathan-fuller
2019,13.004,50,action thriller,universal-1440-entertainment,5.6,m.j.-bassett,aml-ameen rhea-seehorn roxanne-mckee
2008,13.003,322,animation action adventure,dc-comics beetrain warner-bros.-animation madhouse dc-entertainment,6.8,unknown,kevin-conroy jason-marsden scott-menville
2000,13.001,807,fantasy comedy romance science-fiction,universal-pictures imagine-entertainment,4.4,peter-segal,eddie-murphy janet-jackson larry-miller
1959,13.001,982,drama,les-films-du-carrosse sédif-productions,8.1,françois-truffaut,jean-pierre-léaud albert-rémy claire-maurier
2019,13.0,1,comedy drama romance,project-8-cor.-san-joaquin regal-entertainment,6.3,rod-marmol,sue-ramirez rk-bagatsing mark-anthony-fernandez
1990,12.998,415,action,universal-pictures imperial-filmproduktion,6.2,sheldon-lettich,jean-claude-van-damme harrison-page deborah-rennard
1995,12.997,372,adventure comedy family,universal-pictures,6.3,nick-castle,damon-wayans michael-ironside bam-bam-bigelow
1996,12.997,434,comedy,ivory-way-productions miramax island-pictures,6.6,paris-barclay,shawn-wayans marlon-wayans keenen-ivory-wayans
2019,12.996,90,family animation comedy adventure,on-animation-studios pathé! on-entertainment morgen-studios,4.8,lino-disalvo,anya-taylor-joy jim-gaffigan gabriel-bateman
2013,12.996,1151,comedy drama,sycamore-pictures oddlot-entertainment the-walsh-company what-just-happened-productions,7.4,unknown,steve-carell toni-collette allison-janney
1999,12.995,728,thriller science-fiction mystery,centropolis-film-productions,7.1,josef-rusnak,craig-bierko gretchen-mol armin-mueller-stahl
2013,12.992,2824,drama crime,iconoclast rabbit-bandini-productions division-films muse-productions o'-salvation mjz pop-films radar-pictures,5.3,harmony-korine,vanessa-hudgens selena-gomez ashley-benson
2003,12.991,482,comedy,new-line-cinema,3.4,troy-miller,derek-richardson eric-christian-olsen eugene-levy
2020,12.99,0,romance comedy music drama,focus-features working-title-films,6.2,nisha-ganatra,dakota-johnson tracee-ellis-ross kelvin-harrison-jr.
2000,12.989,532,drama fantasy,wildwood-enterprises allied-filmmakers epsilon-motion-pictures 20th-century-fox dreamworks-pictures,6.7,robert-redford,will-smith matt-damon charlize-theron
2012,12.988,517,documentary,passion-pictures red-box-films canfield-pictures,8.2,malik-bendjelloul,rodriguez stephen-'sugar'-segerman dennis-coffey
2009,12.988,850,animation action family science-fiction,summit-entertainment imagi-animation-studios tezuka-productions,6.3,david-bowers,freddie-highmore nicolas-cage kristen-bell
1998,12.987,755,comedy drama fantasy romance,paramount intermedia-films mirage-enterprises miramax,6.7,peter-howitt,gwyneth-paltrow john-hannah john-lynch
2020,12.986,37,comedy,soyouz-films studiocanal,5.0,ludovic-bernard,aure-atika franck-dubosc alexis-michalik
1996,12.986,1168,drama romance war,miramax tiger-moth-productions,7.4,anthony-minghella,ralph-fiennes juliette-binoche willem-dafoe
2001,12.983,913,comedy,dimension-films view-askew-productions miramax,6.8,kevin-smith,jason-mewes kevin-smith ben-affleck
1998,12.981,213,action adventure comedy thriller,tristar-pictures,6.1,kirk-wong,mark-wahlberg lou-diamond-phillips christina-applegate
2017,12.98,207,documentary,spark-media,7.4,unknown,kip-andersen larry-baldwin neal-barnard
2017,12.979,333,thriller action mystery horror,original-film columbia-pictures sony-pictures,6.3,adam-robitel,taylor-russell logan-miller jay-ellis
1998,12.979,399,science-fiction action adventure,marvel-studios paramount,8.0,joss-whedon,robert-downey-jr. chris-evans scarlett-johansson
2011,12.975,293,drama comedy,sacher-film fandango le-pacte france-3-cinéma rai-cinema coficup backup-media eurimages canal+ france-télévisions 01-distribution,6.7,nanni-moretti,michel-piccoli nanni-moretti jerzy-stuhr
2011,12.975,804,adventure drama,prime-focus toledo-productions focus-features twins-financing film4-productions,6.2,kevin-macdonald,channing-tatum jamie-bell donald-sutherland
2012,12.973,443,comedy,paramount skydance-media,5.7,anne-fletcher,barbra-streisand seth-rogen julene-renee
1983,12.973,252,science-fiction adventure thriller,lionsgate color-force,6.6,francis-lawrence,jennifer-lawrence josh-hutcherson liam-hemsworth
2017,12.972,1172,crime drama thriller,elara-pictures rhea-films,7.4,unknown,robert-pattinson benny-safdie jennifer-jason-leigh
2015,12.972,1389,thriller,xyz-films gamechanger-films lege-artis,6.6,karyn-kusama,logan-marshall-green emayatzy-corinealdi michiel-huisman
2014,12.970999999999998,543,drama,lionsgate summit-entertainment oddlot-entertainment,6.8,ivan-reitman,kevin-costner chadwick-boseman jennifer-garner
1997,12.97,253,comedy family,paramount nickelodeon-movies,5.7,brian-robbins,kel-mitchell kenan-thompson sinbad
1981,12.97,313,comedy action,golden-harvest-company albert-s.-ruddy-productions 20th-century-fox,6.3,hal-needham,burt-reynolds roger-moore farrah-fawcett
1992,12.968,334,animation comedy fantasy,paramount,4.9,ralph-bakshi,gabriel-byrne kim-basinger janni-brenn
1994,12.967,251,thriller,trilogy-entertainment-group metro-goldwyn-mayer,6.3,stephen-hopkins,jeff-bridges tommy-lee-jones suzy-amis
2012,12.965,286,drama action adventure history war,lucasfilm-ltd. 20th-century-fox,5.9,anthony-hemingway,cuba-gooding-jr. gerald-mcraney david-oyelowo
1991,12.965,300,comedy drama horror mystery thriller,universal-pictures alive-films,6.4,wes-craven,brandon-quintin-adams everett-mcgill wendy-robie
2008,12.965,2885,comedy drama crime,twins-financing blueprint-pictures focus-features scion-films film4-productions,7.9,martin-mcdonagh,colin-farrell brendan-gleeson ciarán-hinds
1982,12.965,1023,comedy drama,embassy-international-pictures 20th-century-fox,7.8,martin-scorsese,robert-de-niro jerry-lewis diahnne-abbott
2008,12.961,360,drama romance,village-roadshow-pictures di-novi-pictures warner-bros.-pictures,6.0,george-c.-wolfe,diane-lane richard-gere christopher-meloni
2008,12.96,643,drama history,blast!-films,7.6,steve-mcqueen,stuart-graham laine-megaw brian-milligan
1972,12.959,531,adventure drama history,werner-herzog-filmproduktion hr,7.9,werner-herzog,klaus-kinski ruy-guerra helena-rojo
2018,12.958,2038,thriller mystery drama,stage-6-films bazelevs-production screen-gems,7.6,aneesh-chaganty,john-cho debra-messing joseph-lee
1986,12.958,817,drama family animation adventure music,amblin-entertainment universal-pictures sullivan-bluth-studios,6.9,don-bluth,dom-deluise christopher-plummer erica-yohn
1995,12.956,720,crime drama mystery thriller action,columbia-pictures,5.9,irwin-winkler,sandra-bullock jeremy-northam dennis-miller
2009,12.955,200,comedy horror,carnaby-international hanover-films molinare-studios,6.0,jake-west,danny-dyer noel-clarke emil-marwa
1996,12.955,1033,action drama mystery thriller,kopelson-entertainment warner-bros.-pictures,6.1,chuck-russell,arnold-schwarzenegger vanessa-williams james-caan
1987,12.951,291,horror,de-laurentiis-entertainment-group-(deg) f/m near-dark-joint-venture,7.0,kathryn-bigelow,adrian-pasdar jenny-wright lance-henriksen
2007,12.948,669,comedy romance drama,castle-rock-entertainment storefront-pictures village-roadshow-pictures wv-films-iii warner-bros.-pictures,6.3,scott-hicks,catherine-zeta-jones aaron-eckhart abigail-breslin
1994,12.947,472,thriller,david-foster-productions universal-pictures turman-foster-company,6.4,curtis-hanson,meryl-streep kevin-bacon david-strathairn
1978,12.946,1109,horror,dawn-associates united-film-distribution-company-(ufdc) laurel-entertainment,7.9,george-a.-romero,david-emge ken-foree scott-h.-reiniger
2004,12.945,280,animation adventure drama romance science-fiction,comix-wave-films,7.0,unknown,hidetaka-yoshioka masato-hagiwara yuka-nanri
2014,12.943,531,comedy adventure crime family,walt-disney-pictures buena-vista-pictures mandeville-films,6.4,james-bobin,ricky-gervais ty-burrell tina-fey
2011,12.943,797,comedy,paramount-famous-productions,4.1,melanie-mayron,meaghan-martin donn-lamkin linden-ashby
2002,12.941,253,comedy crime drama,silver-nitrate muse-productions brink-films little-magic-films saggitaire stone-canyon-entertainment,6.8,jonas-åkerlund,jason-schwartzman john-leguizamo patrick-fugit
2003,12.941,2130,comedy romance,paramount,6.4,donald-petrie,kate-hudson matthew-mcconaughey adam-goldberg
2015,12.94,212,drama action thriller,agbo thematic-entertainment tgim-films,6.7,sam-hargrave,chris-hemsworth bryon-lerum ryder-lerum
1978,12.938,410,action comedy,orange-sky-golden-harvest hong-kong-stuntman-association paragon-films-ltd.,7.6,unknown,jackie-chan ho-sung-pak lung-ti
1988,12.937,496,horror,film-futures new-world-pictures cinemarque-entertainment king-video-productions,6.5,tony-randel,doug-bradley ashley-laurence clare-higgins
2015,12.931,1190,crime drama mystery,plan-b-entertainment regency-enterprises new-regency-pictures,6.3,rupert-goold,james-franco jonah-hill felicity-jones
1989,12.93,1312,comedy romance,management-company-entertainment-group-(mceg) tristar-pictures,5.9,amy-heckerling,john-travolta kirstie-alley olympia-dukakis
2019,12.925999999999998,84,comedy family animation adventure mystery,hanna-barbera-productions warner-bros.-animation,6.4,cecilia-aranovich,frank-welker grey-griffin matthew-lillard
1977,12.925999999999998,180,drama action history war,rapid-film emi-films terra-filmkunst,7.5,sam-peckinpah,james-coburn maximilian-schell james-mason
2018,12.925,438,horror,valhalla-motion-pictures tucker-tooley-entertainment ingenuity-studios universal-pictures,5.5,gregory-plotkin,cynthea-mercado stephen-conroy amy-forsyth
2007,12.925,1101,animation drama,société-des-producteurs-de-l'angoa sony-pictures-classics procirep soficinéma france-3-cinéma diaphana-films sofica-europacorp celluloid-dreams the-kennedy/marshall-company région-ile-de-france fondation-gan-pour-le-cinéma 2.4.7.-films french-connection-animations centre-national-du-cinéma-et-de-l'image-animée,8.0,unknown,chiara-mastroianni catherine-deneuve gena-rowlands
2008,12.924,589,drama crime thriller,screen-gems overbrook-entertainment,6.1,neil-labute,samuel-l.-jackson patrick-wilson kerry-washington
2018,12.923,130,thriller mystery,kirk-shaw-productions prettybird silver-state-production-services dtlv-cinema-society goldfinch-australia highland-film-group,4.6,tim-hunter,nicolas-cage robin-tunney marc-blucas
1992,12.923,147,comedy action,hong-kong-film-directors-guild golden-way-films-ltd. dimension-films gala-film-distribution-limited paragon-films-ltd.,6.5,unknown,jackie-chan maggie-cheung teddy-robin-kwan
2008,12.922,569,horror,spyglass-entertainment pacific-film-and-television-commission internationale-filmproduktion-prometheus red-hour dreamworks-pictures paramount,5.8,carter-smith,shawn-ashmore jena-malone jonathan-tucker
2004,12.922,414,fantasy drama science-fiction romance,paradis-films orly-films jet-tone-films shanghai-film-group arte-france-cinéma,7.4,kar-wai-wong,tony-chiu-wai-leung ziyi-zhang faye-wong
2010,12.918,1976,comedy drama romance,applehead-pictures summit-entertainment,6.5,gary-winick,amanda-seyfried gael-garcía-bernal vanessa-redgrave
1999,12.915,212,comedy music,corrupter-production-service-ltd. new-line-cinema takoma-entertainment base-12-productions kiss-nation,6.9,adam-rifkin,edward-furlong giuseppe-andrews james-debello
2009,12.908,352,drama music history,fox-searchlight-pictures,6.7,george-tillman-jr.,jamal-woolard anthony-mackie derek-luke
2005,12.902,505,comedy drama family romance,universal-pictures,5.5,mark-rosman,hilary-duff heather-locklear aria-wallace
1997,12.901,312,horror comedy,hollywood-pictures cometstone-pictures,5.1,anthony-waller,tom-everett-scott julie-delpy vince-vieluf
2014,12.9,2034,comedy,altus-media fairview-entertainment prescience,7.3,jon-favreau,jon-favreau robert-downey-jr. scarlett-johansson
2011,12.9,1550,adventure fantasy action,atlas-entertainment relativity-media,5.4,dominic-sena,nicolas-cage ron-perlman claire-foy
1993,12.9,522,comedy family,island-world 20th-century-fox,7.8,david-mickey-evans,tom-guiry mike-vitar art-lafleur
2004,12.897,511,comedy drama romance,patalex-productions paramount,6.2,charles-shyer,jude-law sienna-miller susan-sarandon
2016,12.896,457,horror thriller mystery,spectacle-entertainment-group windy-hill-pictures protagonist-pictures bow-+-arrow-entertainment palmstar-media,5.1,rob-zombie,malcolm-mcdowell richard-brake jeff-daniel-phillips
2010,12.894,340,drama,olympus-pictures oddlot-entertainment blossom-films,7.0,john-cameron-mitchell,nicole-kidman aaron-eckhart dianne-wiest
1973,12.894,146,animation family,mainframe-entertainment,6.1,william-lau,kelly-sheridan tim-curry kira-tozer
1990,12.893,1092,action thriller,gaumont cecchi-gori-group-tiger-cinematografica les-films-du-loup,7.3,luc-besson,anne-parillaud marc-duret patrick-fontana
2015,12.890999999999998,694,crime drama thriller,westdeutscher-rundfunk monkeyboy radicalmedia arte,7.6,sebastian-schipper,laia-costa frederick-lau franz-rogowski
2004,12.890999999999998,204,comedy western,union-générale-cinématographique-(ugc),3.2,philippe-haïm,eric-judor ramzy-bedia saïd-serrari
1992,12.888,865,drama action thriller crime,paramount mace-neufeld-productions,6.9,phillip-noyce,harrison-ford sean-bean anne-archer
1948,12.887,1346,crime thriller,transatlantic-pictures warner-bros.-pictures,8.0,alfred-hitchcock,james-stewart john-dall farley-granger
2008,12.886,318,adventure action thriller,iyara-films sahamongkolfilm,6.2,unknown,tony-jaa sarunyu-wongkrachang sorapong-chatree
2001,12.886,723,drama romance,bésame-mucho-pictures producciones-anhelo,7.6,alfonso-cuarón,maribel-verdú gael-garcía-bernal daniel-giménez-cacho
1996,12.885,285,comedy crime,universal-pictures,5.8,ernest-r.-dickerson,damon-wayans adam-sandler james-caan
1994,12.885,203,drama,avalon-studios new-zealand-film-commission nz-on-air,7.9,lee-tamahori,rena-owen temuera-morrison mamaengaroa-kerr-bell
2018,12.884,600,drama comedy fantasy,dreamworks-pictures imagemovers,6.2,robert-zemeckis,steve-carell falk-hentschel matt-o'leary
1985,12.882,321,comedy adventure,aar-films warner-bros.-pictures,6.4,john-landis,chevy-chase dan-aykroyd mark-stewart
2001,12.880999999999998,341,thriller action comedy crime,the-film-consortium alliance-atlantis-communications momentum-films national-lottery fifty-first-films artists-production-group-(apg) the-canadian-film-or-video-production-tax-credit-(cptc) film-council focus-features,6.3,ronny-yu,samuel-l.-jackson robert-carlyle emily-mortimer
2005,12.879,1006,comedy fantasy romance,bewitched red-wagon-entertainment columbia-pictures,4.8,nora-ephron,nicole-kidman will-ferrell shirley-maclaine
2007,12.879,79,drama comedy thriller,unknown,7.0,david-mackenzie,jamie-bell ruth-milne john-paul-lawler
1981,12.876,515,adventure fantasy,orion-pictures warner-bros.-pictures,7.4,john-boorman,nigel-terry helen-mirren nicholas-clay
2019,12.873,201,documentary music,parkwood-entertainment columbia-records company-3,7.4,unknown,beyoncé joe-brown marvin-brown
2008,12.873,900,comedy,poisson-rouge-pictures pathé! bethsabée-mucho m6-films cinécinéma centre-national-du-cinéma-et-de-l'image-animée canal+ tf1-films-production,6.3,lisa-azuelos,sophie-marceau christa-théret jérémy-kapone
2009,12.873,998,comedy,universal-pictures mrc four-by-two,5.8,larry-charles,sacha-baron-cohen gustaf-hammarsten clifford-bañagale
1999,12.872,553,crime drama thriller mystery,lakeshore-entertainment screen-gems arlington-road-productions-corporation gorai-/-samuelson-productions samuelson-productions,7.2,mark-pellington,jeff-bridges tim-robbins joan-cusack
2014,12.87,708,adventure thriller drama,focus-features cowboy-films film4-productions,6.4,kevin-macdonald,jude-law scoot-mcnairy ben-mendelsohn
1992,12.869000000000002,349,crime,fatal-black,4.7,david-l.g.-hughes,philip-barantini elizabeth-berrington adrian-bower
2013,12.867,389,adventure animation drama family,walt-disney-animation-studios walt-disney-pictures edgar-rice-burroughs-inc.,7.3,unknown,tony-goldwyn minnie-driver brian-blessed
1999,12.867,1785,drama romance,columbia-pictures cruel-productions newmarket-capital-group,6.8,roger-kumble,sarah-michelle-gellar ryan-phillippe reese-witherspoon
2009,12.866,156,family animation,dreamworks-animation pacific-data-images,6.7,david-soren,ben-stiller chris-rock david-schwimmer
2009,12.86,1401,action horror mystery science-fiction thriller,impact-pictures constantin-film studio-babelsberg summit-entertainment,6.7,christian-alvart,dennis-quaid ben-foster cam-gigandet
2010,12.859000000000002,288,family animation,mattel evolution-films,6.2,william-lau,diana-kaarina adrian-petriw tabitha-st.-germain
2007,12.859000000000002,20,romance comedy,jk-film cj-entertainment,6.1,tae-yun-yoon,chang-jung-lim ji-hyo-song seong-guk-choi
1987,12.859000000000002,298,drama music,new-visions-pictures columbia-pictures,6.9,luis-valdez,lou-diamond-phillips esai-morales rosanna-desoto
2003,12.859000000000002,231,drama comedy,casey-silver-productions revolution-studios city-light-films,2.5,martin-brest,ben-affleck jennifer-lopez justin-bartha
1947,12.856,249,crime drama romance thriller,rko-radio-pictures,8.0,jacques-tourneur,robert-mitchum jane-greer kirk-douglas
1995,12.855,817,drama fantasy western,jvc newmarket-capital-group 12-gauge-productions pandora-film,7.6,jim-jarmusch,johnny-depp gary-farmer crispin-glover
2017,12.854,160,action adventure crime drama thriller,filmmuse-productions del-rey-films,6.2,phil-volken,eion-bailey bethany-joy-lenz mauricio-alemañy
2003,12.853,692,horror,lions-gate-films tonic-films down-home-entertainment cabin-pictures black-sky-entertainment deer-path-films,5.7,eli-roth,jordan-ladd rider-strong james-debello
2015,12.851,442,thriller horror,lionsgate lakeshore-entertainment h2f-entertainment pantelion-films,4.8,mark-neveldine,olivia-taylor-dudley michael-peña dougray-scott
2002,12.85,1191,horror mystery thriller,village-roadshow-pictures npv-entertainment dark-castle-entertainment ghost-ship-films-pty.-ltd. warner-bros.-pictures,5.5,steve-beck,julianna-margulies gabriel-byrne ron-eldard
1989,12.844,603,action thriller,kings-road-entertainment cannon-group,6.5,unknown,jean-claude-van-damme dennis-alexio dennis-chan
